2025-02-03 11:31:11,291 [myid:] - INFO  [main:QuorumPeerConfig@136] - Reading configuration from: /Users/ashok/Documents/Else/Projects_leer/Udemy Distributed Systems And Cloud Computing/distributedSystemsAndCloudComputingInJava/zookeeper-3.4.12/bin/../conf/zoo.cfg
2025-02-03 11:31:11,293 [myid:] - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
2025-02-03 11:31:11,293 [myid:] - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
2025-02-03 11:31:11,293 [myid:] - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
2025-02-03 11:31:11,293 [myid:] - WARN  [main:QuorumPeerMain@116] - Either no config or no quorum defined in config, running  in standalone mode
2025-02-03 11:31:11,296 [myid:] - INFO  [main:QuorumPeerConfig@136] - Reading configuration from: /Users/ashok/Documents/Else/Projects_leer/Udemy Distributed Systems And Cloud Computing/distributedSystemsAndCloudComputingInJava/zookeeper-3.4.12/bin/../conf/zoo.cfg
2025-02-03 11:31:11,296 [myid:] - INFO  [main:ZooKeeperServerMain@98] - Starting server
2025-02-03 11:31:11,300 [myid:] - INFO  [main:Environment@100] - Server environment:zookeeper.version=3.4.12-e5259e437540f349646870ea94dc2658c4e44b3b, built on 03/27/2018 03:55 GMT
2025-02-03 11:31:11,300 [myid:] - INFO  [main:Environment@100] - Server environment:host.name=localhost
2025-02-03 11:31:11,300 [myid:] - INFO  [main:Environment@100] - Server environment:java.version=23.0.1
2025-02-03 11:31:11,300 [myid:] - INFO  [main:Environment@100] - Server environment:java.vendor=Homebrew
2025-02-03 11:31:11,300 [myid:] - INFO  [main:Environment@100] - Server environment:java.home=/opt/homebrew/Cellar/openjdk/23.0.1/libexec/openjdk.jdk/Contents/Home
